,NO,NO2,SO2
3118.0cm-1,-2.1155474459226427e+20,3.263521719611795e+21,-3.051966975019578e+21
3119.0cm-1,1.2785802194905661e+20,1.2034145218489955e+21,-1.3312725437980502e+21
3120.0cm-1,5.14022682200823e+18,1.9576168626577428e+20,-2.009019130877791e+20
3121.0cm-1,-7.013840377799172e+19,4.324346313284193e+20,-3.6229622755043266e+20
3122.0cm-1,-1.5010664940202426e+20,3.8453554273859954e+20,-2.3442889333657328e+20
3123.0cm-1,-3.999239046117457e+20,2.6025087805091527e+21,-2.2025848758973715e+21
3124.0cm-1,-1.741544347555753e+20,3.333847229353365e+20,-1.5923028817976253e+20
3125.0cm-1,2.0498993879730156e+20,4.2798163078354305e+20,-6.329715695808374e+20
3126.0cm-1,-1.1968111765679625e+20,3.444019073697063e+20,-2.2472078971290835e+20
3127.0cm-1,-2.897621044803907e+19,3.0780673464157025e+20,-2.7883052419353215e+20
3128.0cm-1,4.112502483288105e+20,7.212806002286745e+20,-1.1325308485574825e+21
3129.0cm-1,1.6860798654108742e+20,5.506189390912089e+20,-7.192269256323107e+20
3130.0cm-1,-1.6440341008728755e+20,1.8484990613522304e+20,-2.0446496047941923e+19
3131.0cm-1,-3.997128975173912e+20,8.384564838827365e+20,-4.3874358636536784e+20
3132.0cm-1,-6.600754228133578e+19,2.338158938576573e+21,-2.2721513962952602e+21
3133.0cm-1,-1.1944550384201446e+20,3.932459592647267e+20,-2.738004554227019e+20
3134.0cm-1,4.558136682866989e+20,2.0819903743644832e+21,-2.5378040426511556e+21
3135.0cm-1,-4.959597419151689e+20,1.1824107928186952e+21,-6.864510509035333e+20
3136.0cm-1,-7.446547586926337e+20,1.0624488457209035e+21,-3.1779408702826276e+20
3137.0cm-1,6.896545090860525e+20,2.6500269244125765e+21,-3.3396814334986557e+21
3138.0cm-1,1.0425622654788865e+20,3.4989409552376955e+20,-4.541503220716691e+20
3139.0cm-1,-8.945878778556008e+20,2.9616071762178736e+21,-2.0670192983622492e+21
3140.0cm-1,-2.570217945146077e+20,2.7127479264750676e+20,-1.4252998132906637e+19
3141.0cm-1,-2.780651407993036e+20,3.924830735140893e+20,-1.1441793271478913e+20
3142.0cm-1,2.8559030414874712e+20,6.444798574931343e+20,-9.300701616418728e+20
3143.0cm-1,-1.0153914469446859e+19,1.6521699204517328e+20,-1.5506307757572342e+20
3144.0cm-1,-2.640374664918243e+19,2.880423115960899e+20,-2.616385649468991e+20
3145.0cm-1,3.816755003847353e+19,8.637889577104537e+20,-9.019565077489228e+20
3146.0cm-1,2.9050269096711455e+19,2.7976267186669044e+20,-3.088129409634069e+20
3147.0cm-1,-1.3362506377408512e+19,3.335415556052094e+20,-3.201790492278046e+20
3148.0cm-1,-6.172693990657209e+20,1.554371993461634e+21,-9.371025943958796e+20
3149.0cm-1,-1.9735052258984532e+20,8.451291601988413e+20,-6.477786376090216e+20
3150.0cm-1,-1.7928174154464087e+20,2.604409084350321e+20,-8.11591668903838e+19
3151.0cm-1,1.617913210242537e+20,1.7371323263313565e+21,-1.8989236473555617e+21
3152.0cm-1,-3.143005569456543e+19,3.7096581043012796e+20,-3.3953575473555603e+20
3153.0cm-1,-1.510288405142875e+20,7.240619527444491e+20,-5.730331122301599e+20
3154.0cm-1,-2.831549444399888e+20,1.348045636813805e+21,-1.0648906923738536e+21
3155.0cm-1,1.4891838435854784e+21,2.2569030440080772e+21,-3.7460868875935474e+21
3156.0cm-1,-2.9258460125506693e+20,5.7258275135024844e+20,-2.799981500951719e+20
3157.0cm-1,-1.3349581558290543e+21,1.7960997499819367e+21,-4.611415941528304e+20
3158.0cm-1,-1.483171397286119e+20,7.293640555244527e+20,-5.810469157958548e+20
3159.0cm-1,-2.9346109336224904e+20,4.7121075000365574e+20,-1.7774965664140365e+20
3160.0cm-1,-4.193007856913706e+20,3.0608562460568804e+21,-2.6415554603655155e+21
3161.0cm-1,5.683416988035649e+18,2.4493754386037575e+20,-2.5062096084841103e+20
3162.0cm-1,8.964772819588145e+19,1.0780836599943828e+20,-1.974560941953216e+20
3163.0cm-1,7.231322053690413e+19,1.1869164818481086e+20,-1.910048687217128e+20
3164.0cm-1,-6.95891570198253e+19,2.7532863030099693e+20,-2.057394732811698e+20
3165.0cm-1,2.1079639711854464e+17,2.6387072359071937e+20,-2.640815199878325e+20
3166.0cm-1,-6.125785899769029e+20,1.1900929003730722e+21,-5.7751431039623954e+20
3167.0cm-1,-3.086287308331471e+19,6.00057776653831e+20,-5.6919490357050874e+20
3168.0cm-1,-8.55670225289243e+20,1.0483507985764248e+21,-1.9268057328718335e+20
3169.0cm-1,3.15901439138538e+20,4.176978025220369e+20,-7.335992416605781e+20
3170.0cm-1,-1.3544769373533923e+20,3.2362346056508644e+20,-1.8817576682974157e+20
3171.0cm-1,-5.459677273166609e+19,3.133359189650538e+20,-2.587391462333923e+20
3172.0cm-1,7.558728233695846e+19,1.991516237361554e+20,-2.7473890607311303e+20
3173.0cm-1,1.4474041263084836e+20,8.510153814139006e+20,-9.957557940447538e+20
3174.0cm-1,-7.77284139077916e+20,1.4194280184829292e+21,-6.421438794049525e+20
3175.0cm-1,-3.278743842746862e+20,9.953642315956887e+20,-6.674898473210066e+20
3176.0cm-1,-1.8510199697327335e+20,4.0497347411655066e+20,-2.1987147714328235e+20
3177.0cm-1,-2.628467332135671e+19,2.898102481113606e+20,-2.635255747900056e+20
3178.0cm-1,-5.651415427070083e+19,1.914623878656382e+20,-1.3494823359494537e+20
3179.0cm-1,2.121854717991022e+19,1.2569902496902814e+20,-1.4691757214893525e+20
3180.0cm-1,-8.811338272266775e+20,1.4425646444594442e+21,-5.614308172327531e+20
3181.0cm-1,-2.857272936877005e+19,1.3834690831748551e+20,-1.0977417894871609e+20
3182.0cm-1,6.941997142583396e+19,1.1773800982934235e+20,-1.8715798125517875e+20
3183.0cm-1,9.81291725036328e+19,1.379562478992383e+20,-2.3608542040286678e+20
3184.0cm-1,-3.781344829237374e+19,4.93178360936851e+20,-4.553649126444793e+20
3185.0cm-1,-1.2733517798041692e+20,3.1010666064379714e+20,-1.8277148266338042e+20
3186.0cm-1,-1.6153674432461803e+20,2.2110421732052143e+20,-5.956747299590175e+19
3187.0cm-1,2.457608637174751e+20,4.9747402911193065e+20,-7.432348928294109e+20
3188.0cm-1,6.0770734523130905e+19,5.348405658889558e+20,-5.956113004121071e+20
3189.0cm-1,-3.9390578107567915e+19,1.0834292679923676e+20,-6.8952348691666625e+19
3190.0cm-1,-2.511528143849002e+20,2.8540425365729e+20,-3.425143927239088e+19
3191.0cm-1,1.734101484841098e+19,1.1780873924642605e+20,-1.3514975409483684e+20
3192.0cm-1,-3.192045581180324e+18,1.5071542201350534e+20,-1.4752337643232607e+20
3193.0cm-1,-2.5552816452587903e+20,7.909668177393538e+20,-5.3543865321347305e+20
3194.0cm-1,2.7753041095367172e+19,1.1361403074808574e+21,-1.1638933485762183e+21
3195.0cm-1,-3.8955353254715597e+18,1.52725082034632e+20,-1.488295467091586e+20
3196.0cm-1,-8.099377768381084e+19,9.348230109242069e+20,-8.538292332403775e+20
3197.0cm-1,5.5527672430793654e+19,1.1721815238949236e+20,-1.7274582482028557e+20
3198.0cm-1,-5.1641161229580075e+20,1.2486150138922326e+21,-7.322034015964578e+20
3199.0cm-1,-5.671864968734749e+20,1.4372655986152828e+21,-8.700791017418076e+20
3200.0cm-1,-7.271466670248932e+20,8.390776084215206e+20,-1.119309413966419e+20
3201.0cm-1,3.9995423074278834e+20,1.2262899581159505e+21,-1.6262441888587262e+21
3202.0cm-1,2.5355881969665566e+20,5.4118486458541113e+20,-7.947436842820775e+20
3203.0cm-1,4.29498086978734e+20,1.437853414478701e+21,-1.8673515014574624e+21
3204.0cm-1,2.4486020484676023e+20,1.0739075174115592e+21,-1.3187677222582776e+21
3205.0cm-1,-8.379563442083514e+18,1.2533106118561363e+21,-1.2449310484140586e+21
3206.0cm-1,-3.758698465566881e+20,8.720822073941695e+20,-4.9621236083749716e+20
3207.0cm-1,5.822312658040017e+19,6.516566532878543e+20,-7.09879779868267e+20
3208.0cm-1,1.2752427960532248e+21,1.1310342049866375e+21,-2.4062770010398953e+21
3209.0cm-1,-2.3276027821397187e+20,2.855194989274143e+20,-5.275922071343685e+19
3210.0cm-1,-2.9240877465466253e+19,1.6230526565031716e+20,-1.3306438818485282e+20
3211.0cm-1,-2.476107855381336e+18,4.9552916900865894e+20,-4.930530611532663e+20
3212.0cm-1,-2.624611010777226e+20,1.8577354203297263e+21,-1.595274319251956e+21
3213.0cm-1,-2.9494479460921993e+20,6.56233838288864e+20,-3.6128904367964114e+20
3214.0cm-1,-1.48904473799588e+20,2.4105875544608797e+20,-9.215428164649879e+19
3215.0cm-1,6.7337441526737265e+19,2.0124981884543792e+20,-2.6858726037217912e+20
3216.0cm-1,-6.716034806205543e+19,2.584870134315875e+20,-1.9132666536953e+20
3217.0cm-1,-4.2466186982823926e+20,1.2777876917522376e+21,-8.531258219239974e+20
3218.0cm-1,1.5055072593259663e+19,4.607162569982969e+19,-6.112669829308925e+19
3219.0cm-1,1.1474075239907887e+19,6.400004408121293e+19,-7.547411932112105e+19
3220.0cm-1,-3.54312264986335e+20,5.8015081337193844e+20,-2.2583854838560257e+20
3221.0cm-1,4.37905505601896e+20,1.984048537707487e+21,-2.42195404330945e+21
3222.0cm-1,-2.235861266013672e+20,6.721262050615781e+20,-4.48540078460228e+20
3223.0cm-1,-3.783292973050792e+20,1.1626126730931113e+21,-7.842833757880176e+20
3224.0cm-1,-1.2064827893603136e+21,1.407043676109024e+21,-2.0056088674868203e+20
3225.0cm-1,-3.704493265853422e+20,1.3380776180479054e+21,-9.676282914625429e+20
3226.0cm-1,-6.443548632101127e+20,1.5498766653639725e+21,-9.055218021538462e+20
3227.0cm-1,4.799784130771609e+19,6.941851251133252e+19,-1.1741635381904785e+20
3228.0cm-1,-1.1702521664482384e+19,1.6605729933698947e+20,-1.5435477767250962e+20
3229.0cm-1,1.2380651752445161e+19,2.4812400244670317e+20,-2.605046541991424e+20
3230.0cm-1,3.792571701906971e+20,1.8902182749961475e+21,-2.2694754451868966e+21
3231.0cm-1,-6.067530481472795e+20,4.031678183148519e+20,2.0358522983241145e+20
3232.0cm-1,-5.370928170284496e+20,1.1148614567699412e+21,-5.77768639741493e+20
3233.0cm-1,-2.5671292270984924e+20,5.1221183161596635e+20,-2.5549890890614928e+20
3234.0cm-1,4.036648822684039e+20,3.6388547503536846e+20,-7.675503573037799e+20
3235.0cm-1,1.250085306366156e+21,1.3068279609639809e+21,-2.5569132673301637e+21
3236.0cm-1,4.837402629958896e+19,4.789493640967283e+19,-9.626896270925939e+19
3237.0cm-1,3.7100072618963514e+20,1.9379932786576235e+21,-2.3089940048472257e+21
3238.0cm-1,-3.370884446850015e+20,8.206006374625224e+20,-4.835121927775286e+20
3239.0cm-1,1.3577800196707916e+19,1.1255539773511569e+20,-1.2613319793182599e+20
3240.0cm-1,-1.5156469298585007e+20,4.940174874908326e+20,-3.4245279450498715e+20
3241.0cm-1,2.0671757755154494e+20,2.390264103269113e+21,-2.5969816808207e+21
3242.0cm-1,2.908706048505479e+20,2.5172958709739385e+21,-2.8081664758245753e+21
3243.0cm-1,-2.509510681468892e+21,3.579940331604638e+21,-1.0704296501357235e+21
3244.0cm-1,-1.4665023845792051e+21,2.304242539429002e+21,-8.377401548497739e+20
3245.0cm-1,-5.3726292247924785e+19,1.1635707170253495e+21,-1.1098444247774233e+21
3246.0cm-1,-8.58800575541367e+20,9.93055660611466e+20,-1.3425508507008939e+20
3247.0cm-1,-2.1170657276180352e+20,8.312898810159483e+20,-6.195833082541428e+20
3248.0cm-1,2.450023178315371e+19,9.593826674501722e+19,-1.2043849852817234e+20
3249.0cm-1,-6.999421973222503e+19,2.2822372615990736e+20,-1.5822950642767764e+20
3250.0cm-1,-6.320783911278946e+19,2.0808843668937756e+20,-1.4488059757658584e+20
3251.0cm-1,9.212205695397138e+20,2.520346372776183e+21,-3.441566942315849e+21
3252.0cm-1,8.679325157872863e+19,1.870630461038485e+20,-2.7385629768257867e+20
3253.0cm-1,-1.3392719019506283e+21,2.704459657850556e+21,-1.3651877558998828e+21
3254.0cm-1,-1.2327418658809347e+21,3.503228929864778e+21,-2.2704870639838691e+21
3255.0cm-1,-5.8336009943069835e+19,1.0311607215634535e+20,-4.478006221327428e+19
3256.0cm-1,5.739364230361056e+20,2.1753281120010775e+21,-2.749264535037204e+21
3257.0cm-1,-1.5969911513180556e+20,2.1367050082687536e+20,-5.397138569507311e+19
3258.0cm-1,8.711783556305479e+18,2.0803897841307504e+20,-2.167507619693752e+20
3259.0cm-1,-3.842569891958244e+19,2.607014871847559e+20,-2.2227578826516837e+20
3260.0cm-1,-6.653139248570842e+20,1.2877536460266736e+21,-6.224397211695638e+20
3261.0cm-1,-2.5790658691571447e+21,4.0489765238825387e+21,-1.4699106547253591e+21
3262.0cm-1,-7.047885090118664e+20,1.2798317894286524e+21,-5.750432804167926e+20
3263.0cm-1,2.8575819714256208e+19,5.527922163648573e+19,-8.385504135074785e+19
3264.0cm-1,-1.190913737567254e+21,3.2850808551738054e+21,-2.0941671176065453e+21
3265.0cm-1,-1.2941259311530474e+20,3.362132970876668e+20,-2.068007039723741e+20
3266.0cm-1,-7.330783633892557e+18,2.043993794008645e+20,-1.9706859576697458e+20
3267.0cm-1,-1.002986306757678e+19,1.2748443108243007e+20,-1.1745456801484882e+20
3268.0cm-1,-8.10336556344675e+19,1.1524191020526399e+20,-3.4208254570798445e+19
3269.0cm-1,-6.077827115303355e+19,1.2088195647412753e+20,-6.0103685321096e+19
3270.0cm-1,1.518994700446491e+19,3.529083906954149e+20,-3.680983376998853e+20
3271.0cm-1,-1.6394491332943356e+21,2.5120796219955264e+21,-8.726304887011866e+20
3272.0cm-1,-2.366000769378276e+20,2.7028457079865852e+20,-3.368449386082568e+19
3273.0cm-1,5.984051819370116e+19,1.2878984580009521e+21,-1.34773897619463e+21
3274.0cm-1,1.3580034913196627e+20,5.677517249795836e+20,-7.035520741115449e+20
3275.0cm-1,-1.843845349954911e+20,2.0837156416265562e+20,-2.3987029167160656e+19
3276.0cm-1,-4.1006375474884307e+20,1.4742541678572116e+21,-1.0641904131083739e+21
3277.0cm-1,-1.1748098262004287e+20,2.7406718151449903e+20,-1.5658619889445028e+20
3278.0cm-1,-1.9031908284021152e+20,2.024359439177167e+21,-1.8340403563369257e+21
3279.0cm-1,-1.4507004893723158e+20,4.270049715001704e+20,-2.8193492256293988e+20
3280.0cm-1,-1.5563051886393062e+21,3.433029309519927e+21,-1.876724120880606e+21
3281.0cm-1,-4.812662154237869e+19,2.6281505475940034e+20,-2.1468843321701974e+20
3282.0cm-1,1.0328193646093725e+20,2.033295613866932e+21,-2.1365775503278345e+21
3283.0cm-1,-2.1755736110634664e+20,3.976924699996208e+20,-1.801351088932684e+20
3284.0cm-1,-2.947345810174672e+20,7.378175414945069e+20,-4.4308296047705365e+20
3285.0cm-1,-1.132320750722328e+20,5.5907914048587976e+20,-4.458470654136345e+20
3286.0cm-1,-2.841773359147955e+19,1.9247213085739598e+20,-1.640543972659164e+20
3287.0cm-1,1.7529136851779355e+20,4.358712827326681e+20,-6.111626512504643e+20
3288.0cm-1,5.2299141113216985e+20,1.0762000486128453e+21,-1.5991914597450134e+21
3289.0cm-1,2.8530645202265565e+20,2.778968173829858e+20,-5.632032694056381e+20
3290.0cm-1,1.6485030764266596e+20,5.3120638796840914e+20,-6.960566956110701e+20
3291.0cm-1,-5.395390511673941e+20,1.9015392178443914e+21,-1.3620001666770173e+21
3292.0cm-1,-1.638132513089865e+20,3.1745194788800784e+20,-1.5363869657902154e+20
3293.0cm-1,6.907283163723786e+19,2.751577498622929e+20,-3.442305814995296e+20
3294.0cm-1,2.03071917292745e+20,4.355405892065101e+20,-6.386125064992563e+20
3295.0cm-1,-1.199736461445248e+21,1.1138622988252726e+21,8.587416261997783e+19
3296.0cm-1,-4.758352408509677e+20,6.6846161059216e+20,-1.9262636974119315e+20
3297.0cm-1,-1.2289562811058597e+20,6.15334669647814e+20,-4.924390415372268e+20
3298.0cm-1,1.737947446976942e+20,9.430123114985731e+20,-1.1168070561962504e+21
3299.0cm-1,-1.8345495422467058e+21,2.503895905115119e+21,-6.693463628684803e+20
3300.0cm-1,-9.47520291580024e+19,5.5832843849945226e+20,-4.635764093414468e+20
3301.0cm-1,2.4378905737104335e+19,6.501045488819621e+20,-6.744834546190656e+20
3302.0cm-1,3.607611111516106e+20,9.824955200606276e+20,-1.343256631212226e+21
3303.0cm-1,-3.2505917011760783e+19,5.749197051986199e+20,-5.4241378818684984e+20
3304.0cm-1,-3.7782198386011066e+20,1.0036798153192858e+21,-6.258578314591812e+20
3305.0cm-1,-7.047594460601789e+20,1.7013067080866034e+21,-9.965472620264304e+20
3306.0cm-1,-9.39556637005763e+20,2.0889780879048541e+21,-1.1494214508990915e+21
3307.0cm-1,-2.3576369813679987e+20,1.0138583288383097e+21,-7.780946307015167e+20
3308.0cm-1,-4.008120929969384e+20,9.385244143742405e+20,-5.3771232137727246e+20
3309.0cm-1,2.5437913813351747e+20,8.73679835961166e+20,-1.1280589740946892e+21
3310.0cm-1,-3.709466198526487e+20,1.2871023642105846e+21,-9.161557443579572e+20
3311.0cm-1,-5.38381966327647e+20,2.3701705858341226e+21,-1.8317886195064748e+21
3312.0cm-1,3.6811380968784035e+21,3.774550358492807e+22,-4.142664168180732e+22
3313.0cm-1,-4.462245080612048e+22,2.924524535528988e+22,1.5377205450830535e+22
3314.0cm-1,7.05704443930029e+20,1.6523314910053524e+21,-2.3580359349353862e+21
3315.0cm-1,1.214847276172195e+21,1.2758407845564205e+21,-2.4906880607286324e+21
3316.0cm-1,6.732348144242664e+20,1.935359523323659e+21,-2.608594337747929e+21
3317.0cm-1,2.1531615665766233e+20,2.121446069166345e+21,-2.3367622258240727e+21
3318.0cm-1,-4.4422146527546866e+21,5.652967728523317e+21,-1.2107530757686357e+21
3319.0cm-1,-3.671684460848552e+20,4.748765472451727e+21,-4.3815970263669224e+21
3320.0cm-1,4.600822190600264e+20,3.6433973898002647e+21,-4.1034796088602714e+21
3321.0cm-1,-5.291152186913286e+19,3.236845307894687e+21,-3.1839337860255365e+21
3322.0cm-1,2.1743225969666484e+20,4.3440420091829635e+21,-4.561474268879608e+21
3323.0cm-1,-2.0678566844575884e+21,1.0033945321767099e+22,-7.966088637309568e+21
3324.0cm-1,-3.7267673292468875e+21,8.485696037823655e+21,-4.758928708576519e+21
3325.0cm-1,-2.154138821806563e+22,2.500126429802108e+22,-3.459876079955608e+21
3326.0cm-1,-1.3032089379781296e+22,1.8804129746025689e+22,-5.772040366244756e+21
3327.0cm-1,-8.24219222087536e+21,7.045308773941312e+21,1.1968834469339228e+21
3328.0cm-1,-4.4741029978380844e+21,3.329633353859761e+22,-2.8822230540759083e+22
3329.0cm-1,-4.941588977252916e+22,4.3582773762492346e+22,5.833116010036018e+21
3330.0cm-1,2.4643597205684843e+21,7.80947335444485e+21,-1.0273833075013272e+22
3331.0cm-1,-1.910912480099509e+21,7.752762489021709e+21,-5.841850008922396e+21
3332.0cm-1,2.1027782516896464e+21,6.780684336750586e+21,-8.883462588440111e+21
3333.0cm-1,-4.691718528570578e+22,5.336004062907575e+22,-6.44285534337099e+21
3334.0cm-1,-1.20389549417528e+21,7.638552407393731e+21,-6.434656913218287e+21
3335.0cm-1,-7.593897734047453e+22,4.200357549418502e+22,3.3935401846289012e+22
3336.0cm-1,-5.0230263919488224e+22,3.820109632706674e+22,1.2029167592422563e+22
3337.0cm-1,2.061318875444019e+21,1.2275497212293222e+22,-1.433681608773721e+22
3338.0cm-1,1.0418379523960462e+21,8.920478929358544e+21,-9.96231688175457e+21
3339.0cm-1,-4.585069822815075e+21,1.4590603853770439e+22,-1.0005534030955322e+22
3340.0cm-1,-2.576520444561426e+22,2.4858259318428695e+22,9.06945127185908e+20
3341.0cm-1,-1.9236853014658493e+21,1.259516315896474e+22,-1.0671477857498878e+22
3342.0cm-1,-3.3384409208445647e+22,3.828924680541255e+22,-4.904837596966102e+21
3343.0cm-1,-2.695436647754638e+22,2.010744707116837e+22,6.846919406378085e+21
3344.0cm-1,-2.4757450110292757e+22,3.607241779058164e+22,-1.1314967680288329e+22
3345.0cm-1,-9.214628790537226e+22,3.0524731268588565e+22,6.16215566367828e+22
3346.0cm-1,2.7619212516892787e+22,4.1567946736030696e+21,-3.1776007190495306e+22
3347.0cm-1,3.099461130638506e+21,9.246857761824869e+21,-1.2346318892463764e+22
3348.0cm-1,-7.87197109267242e+22,6.630611422379919e+22,1.2413596702926659e+22
3349.0cm-1,-4.970632838377927e+22,3.728780388314151e+22,1.2418524500637577e+22
3350.0cm-1,5.425735794705567e+21,1.7400664466202005e+22,-2.28264002609075e+22
3351.0cm-1,-1.567072544861401e+23,2.135399225750874e+22,1.3535326222863031e+23
3352.0cm-1,-1.1848288325180068e+23,1.2413065552948428e+22,1.0606981769885204e+23
3353.0cm-1,-3.3703905695647306e+22,1.298295440083389e+22,2.072095129481086e+22
3354.0cm-1,-8.75840404331612e+22,3.4688771799308247e+21,8.411516325323047e+22
3355.0cm-1,-4.097509290549113e+22,1.9619329012406537e+22,2.135576389308379e+22
3356.0cm-1,-3.448289206246478e+21,1.0039074827212323e+22,-6.590785620966274e+21
3357.0cm-1,-2.8877695993047136e+22,3.2381779879255075e+22,-3.504083886208457e+21
3358.0cm-1,-9.307737469090944e+22,7.363421114335013e+21,8.571395357657345e+22
3359.0cm-1,-6.132120480467182e+22,-8.15538501038222e+21,6.947658981505419e+22
3360.0cm-1,-7.289331382896759e+22,1.015306971212845e+22,6.274024411683901e+22
3361.0cm-1,5.4860679824836696e+20,2.5686192850125514e+22,-2.6234799648373574e+22
3362.0cm-1,-1.2302275264345817e+22,1.1990600799434104e+22,3.1167446491184425e+20
3363.0cm-1,-6.507398012108391e+22,1.3352569714142733e+21,6.373872314966859e+22
3364.0cm-1,-1.1775883497344801e+23,4.877472382201593e+22,6.89841111514328e+22
3365.0cm-1,-4.54335436844644e+22,1.6350204423760066e+22,2.9083339260704785e+22
3366.0cm-1,-4.651432520388001e+22,3.6786770792166183e+22,9.727554411713975e+21
3367.0cm-1,-9.552387464498973e+22,1.0307977738404676e+22,8.521589690658502e+22
3368.0cm-1,-1.076731610195751e+23,9.369835056739226e+21,9.830332596283645e+22
3369.0cm-1,-2.6322515857994408e+22,2.345714445793781e+22,2.8653714000563756e+21
3370.0cm-1,-3.2734432230586762e+22,2.679972466916078e+22,5.934707561425029e+21
3371.0cm-1,-9.360561436006456e+21,1.5964339774375921e+22,-6.603778338368864e+21
3372.0cm-1,-8.04915669099574e+22,-1.2087396730848496e+21,8.170030658304331e+22
3373.0cm-1,-4.225472372522543e+22,8.242952341020152e+21,3.401177138420515e+22
3374.0cm-1,-1.0513036689871169e+23,2.206001464400271e+22,8.307035225471127e+22
3375.0cm-1,-2.9355856325787764e+22,3.0627640132691934e+22,-1.2717838069031014e+21
3376.0cm-1,-4.613135987156831e+22,-3.2737484339312407e+21,4.9405108305499865e+22
3377.0cm-1,-1.8571174641277086e+22,-4.766082192155175e+21,2.33372568334322e+22
3378.0cm-1,-9.317682974534207e+21,8.720234080227351e+21,5.974488943071523e+20
3379.0cm-1,-6.533151028460652e+22,-1.6971934376056935e+21,6.702870372221268e+22
3380.0cm-1,-5.3825377465035116e+20,1.0189340092306737e+22,-9.65108631765661e+21
3381.0cm-1,-2.043884741278803e+22,4.5579767195741334e+21,1.5880870693212715e+22
3382.0cm-1,-3.985473970206697e+22,8.530555578261058e+21,3.13241841238049e+22
3383.0cm-1,-1.3217220460354252e+22,-4.7695815904524416e+20,1.3694178619399527e+22
3384.0cm-1,-1.2357294176528073e+22,1.7997615776119533e+22,-5.640321599590618e+21
3385.0cm-1,-4.381527753879211e+22,-7.753968394408203e+21,5.156924593319972e+22
3386.0cm-1,-3.2310808110684627e+22,-8.439574541607996e+21,4.075038265229258e+22
3387.0cm-1,-7.745718225960252e+22,2.121897322769634e+22,5.623820903190603e+22
3388.0cm-1,-3.833502490390401e+22,3.824861974546159e+22,8.640515844229988e+19
3389.0cm-1,-3.831972337848485e+22,3.3725370857370004e+22,4.594352521114482e+21
3390.0cm-1,-6.53932383355573e+21,-1.1124439503306803e+21,7.6517677838864e+21
3391.0cm-1,-2.401063180929512e+22,-2.650794726434785e+21,2.6661426535729923e+22
3392.0cm-1,-3.0780890870992985e+22,-1.599901581445216e+21,3.238079245243826e+22
3393.0cm-1,-3.0538124180925366e+22,-3.3637611905450807e+21,3.3901885371470496e+22
3394.0cm-1,-1.6555808564337982e+22,-2.3875890127262135e+21,1.89433975770642e+22
3395.0cm-1,-1.3455996989271987e+22,2.559660872217984e+22,-1.214061173290759e+22
3396.0cm-1,-6.7105428370410734e+22,8.13806162934036e+20,6.629162220747632e+22
3397.0cm-1,-1.879132166811127e+22,-1.7222063831610504e+21,2.051352805127222e+22
3398.0cm-1,-1.926153846948682e+22,4.101845768555343e+22,-2.1756919216067377e+22
3399.0cm-1,-3.5941692830453552e+22,3.6576676428369617e+22,-6.34983597916587e+20
3400.0cm-1,-2.4983508447957894e+22,-3.093473357886167e+21,2.807698180584393e+22
3401.0cm-1,-3.714239294649184e+22,-4.0189792967234966e+21,4.116137224321553e+22
3402.0cm-1,-2.6151873233300427e+22,-3.3261486679599544e+21,2.9478021901260314e+22
3403.0cm-1,-7.383229515865393e+21,-1.425006894881785e+21,8.808236410747221e+21
3404.0cm-1,-7.930069247270853e+21,-2.2725850045833135e+21,1.0202654251854227e+22
3405.0cm-1,-7.81124108805655e+21,-1.1155010731875758e+21,8.92674216124419e+21
3406.0cm-1,-8.714001205187226e+22,2.4302633276071534e+22,6.283737877580066e+22
3407.0cm-1,-2.736112834702929e+22,-5.59678213180109e+21,3.2957910478830373e+22
3408.0cm-1,-2.2545157915332628e+21,2.866211778181117e+22,-2.640760199027701e+22
3409.0cm-1,-4.82785335379759e+21,-1.0758465341311488e+21,5.903699887928757e+21
3410.0cm-1,-1.604134730924589e+22,-1.8879535831501242e+21,1.7929300892395996e+22
3411.0cm-1,-9.481005362345379e+22,-5.276552316307715e+21,1.0008660593976065e+23
3412.0cm-1,-3.3239483107398144e+22,-2.5084781232114977e+21,3.5747961230609837e+22
3413.0cm-1,-4.0550467272789134e+21,-1.0824247745909542e+21,5.137471501869883e+21
3414.0cm-1,-6.855948568165903e+21,-8.198122873633041e+20,7.675760855529193e+21
3415.0cm-1,-2.7843927099181365e+22,-3.3367046622127614e+21,3.1180631761394254e+22
3416.0cm-1,-4.826346390703732e+21,-9.603322005754368e+20,5.786678591279196e+21
3417.0cm-1,-8.216710869317742e+22,6.67807438837689e+21,7.548903430480105e+22
3418.0cm-1,-9.294861486679921e+22,-2.3199892176659727e+21,9.526860408446432e+22
3419.0cm-1,-3.2836481616833607e+21,-7.23972296576717e+20,4.0076204582600977e+21
3420.0cm-1,-1.738637867523191e+22,-2.457633309189253e+21,1.9844011984421166e+22
3421.0cm-1,-4.954970550261024e+21,-1.655153457810282e+21,6.610124008071281e+21
3422.0cm-1,-7.845001322870665e+21,-2.418608673887409e+21,1.0263609996758024e+22
3423.0cm-1,-5.20085877361778e+21,-1.1431545876172225e+21,6.344013361235001e+21
3424.0cm-1,-5.122091244081675e+21,-1.0164910430521507e+21,6.138582287133861e+21
3425.0cm-1,-7.631652086433606e+21,-1.900124981476789e+21,9.531777067910378e+21
3426.0cm-1,-1.3472085726755019e+22,-3.1394799165976326e+21,1.6611565643352632e+22
3427.0cm-1,-1.7842566247495118e+23,4.020090386251932e+22,1.3822475861242963e+23
